Provinsi,Upah Per Jam
Aceh,13579.24
Sumatera Utara,11609.1
Sumatera Barat,13192.31
Riau,15097.55
Jambi,12861.89
Sumatera Selatan,12793.69
Bengkulu,12656.76
Lampung,10379.75
Kepulauan Bangka Belitung,13963.52
Kepulauan Riau,18594.72
DKI Jakarta,22923.24
Jawa Barat,14512.69
Jawa Tengah,9677.26
DI Yogyakarta,11641.56
Jawa Timur,10878.94
Banten,21208.75
Bali,14637.69
Nusa Tenggara Barat,10627.88
Nusa Tenggara Timur,13036.58
Kalimantan Barat,13086.39
Kalimantan Tengah,16644.78
Kalimantan Selatan,14894.42
Kalimantan Timur,20182.07
Kalimantan Utara 1),18857.62
Sulawesi Utara,16281.73
Sulawesi Tengah,13210.48
Sulawesi Selatan,14368.11
Sulawesi Tenggara,19483.9
Gorontalo,13111.55
Sulawesi Barat,12690
Maluku,16332.07
Maluku Utara,15739.89
Papua Barat,18926.27
Papua,22190.5
Indonesia,13888.5
